No.,Critic,Rating_1,Review_1,Rating_2,Review_2
13,NICK B,5," This season was so cool! I loved it. It was funny, mysterious, and very fun to watch. The characters are awesome. Dustin, Hopper, Will, Jonathan, and more! The lead villains, the Demogorgon and Dr. Brenner, are very well made and the whole show was very well written. Instant classic for TV.",5," SPOILERS! This is my favorite season of the show. It had lots of cool things, and my favorites, Steve and Dustin actually joined together! The demodogs were awesome, the characters, the story, literally ALL OF IT WAS AWESOME! This is an absolute MUST SEE!"
14,NOAH F,4.5," With horror/mystery elements, an emotionally built story, and strong performances, Stranger Things creates an unforgettable experience, and shows a bright future for the young cast.",4.5,"With an increase of monsters and humor, Stranger Things 2 maintains the elements that made it great, and remains almost as good as it's predecessor season."
15,PARTYFAVOR,4,A good show overall. Although maybe the hype of the people doesn't really help with uplifting the material itself. Not nearly perfect at all but the characters are lovable and the nostalgia it gives is special for me.,3,"I liked this show but not the same love I can give from the first season. The story started strong (I loved the other mutant's storyline) but it felt flat after a while and the pacing of the story became tiresome. The actors are still lovable, but the characters are somewhat not that like-able anymore. What really destroyed this for me is the last scene where it teases another ""possible"" sequel to this mess. It annoyed me that Netflix is just milking this franchise and it will be just a matter of time before it becomes a hot mess."
16,Price P,5," Beautiful, and well crafted. Stranger Things earns its spot for this golden age of television by delivering a beautiful send up to Stephen King and Steven Spielberg with great writing and beautiful performances from Millie Bobby Brown and Winona Ryder.",4.5," Slow but eerie, season 2 delivers with great turns from Noah Schnapp and David Harbour, as well as the continued character development and the addition of Sean Astin, Sadie Sink, and Dacre Montgomery the threats are greater and the suspense continues to build! Despite the 7th episode which left an odd blemish on an otherwise flawless season."
17,RICKY P,4.5,"Stranger Things is mostly nostalgic and derivative but it makes up for it with it's compelling performances, horror elements and a considerable amount of care given to it's characters",4,Stranger Things' second season continues it's great amount of heart and humorous characters even if some episodes start slower then others it's still a satisfying season for fans
18,ROMANA T,5,"Characterization is outstanding! It's like you personally know every single character, simply amazing writing. I don't like all the gorry stuff, but the exciting story more than makes up for it. It's also funny, like laugh out loud funny, at least when you're not crying your eyes out or bleeding your heart for Ms. Byers. This is the most addictive show of all time, well second-most addictive. Doctor Who used to be #1, but since Chibnall took over the writing I can't even watch the show for five minutes without getting bored. Stranger Things just keeps getting better every season. Can't wait for season 4.",5," Stranger Things: Season 2 (2017)  3 months ago This season hit me so hard, it was thrilling and beautifully done. I've had PTSD and this season the writers made it clear they understand this injury like no other I've read or watched before. I've seen movies that try and deal with PTSD and its stranglehold on a person's life and body, but it never felt visceral, on the other hand, Stranger Things hit me right in the gut. It was almost healing to go through all of Will's stages with him and having him survive and win actaully gave me hope. Most shows these days are garbage and can't compare to shows like Doctor Who (before season 11) or movies like classic Star Wars, but Stranger Things does. It's going to be listed among the classics, and on every top ten sci-fi list."
19,SHEPARD B,5,"Really Fun, Great World building, the Acting is Great. And is Emotionally Powerful. Stranger Things Season One is one of the Best Shows I've ever seen.",5,"Like the Season before, Stranger Things 2 has Great World-Building. But this Season can also be really Intense. And One of the Stand-Outs of this Season, is the Relationships, which stands out more in the Next Season. But this Season does not let down at all... Besides Max."
20,SPACEBEAR1,5,"The Duffer Brothers' Stranger Things is probably the BEST television show that I've ever seen. I loved the characters, especially David Harbour's Hopper, I really loved the story, and the music is absolutely flawless. The show has perfect pacing and a very eerie tone. I also thought the design for the monster, the Demogorgon, was great as well as the use of practical effects. In the end, I honestly can't tell you how great this show was...because it's amazing.",5,"The Duffer Brothers' Stranger Things 2 is an AMAZING follow up/sequel to the previous season. I once again loved the characters. David Harbour was once again amazing. I was also very surprised with the amount of development with Joe Keery's character Steve. He was almost unbearable for a little more than half of the previous season and a bit better by the finale but he has easily become my favorite character in this show. I also loved the design for the new monster, the Mind Flayer, but also the new army of Demodogs. I only have one problem with this season, which was the entirety of episode seven. In the end, I actually loved this season more than the first."
21,THEDAYWALKER,4.5,"I really had to watch it, because it was what everyone was talking about, but i was not disappointed, a really great season, that kept and is still keeping me guessing, can't wait to see more",4.5,"I have to say, after the almost perfection of season 1, i didn't expect season 2 to be either better or even just as good.
But i think they stepped up their game, giving characters more to do and the children remain as naive as before. The story is better told and the acting is a step up as well.
I don't understand the Dacre Montgomery character's inclusion, because right now he was there to make Steve look like a good guy and to be a douche to MadMax."
22,TIM L,3.5, This show hits a lot of nostalgia right out the gate. From the cheesy opening sequence that totally nails the 80's TV show look and feel. The story is both good and mysterious and has you interested right away. They even cast kids you'd expect to see in an 80's flick or show. This is definitely worth the watch.,1, The first season was a slam dunk but season 2 goes off the rails. Too many bad moves and bad plot twist. It lost what the first season cultivated easily. Stopped watching.
23,User A,5,"A wonderful series with incredibly lively and beautiful characters. The whole season has been viewed in the same breath. Winona Ryder, David Harbour and child actors have perfectly coped with their roles.",5," The second season did not lag behind the first season, and even surpassed it in some THINGS. This is still a pleasant, exciting and incredibly interesting series."
24,VINNY M,5," Great TV series especially if you're into sci fi/80's/and monsters and that's everything I love so I give it a 5/5 if i could i'd give it a 10/5 but I consider it great and a classic and I honestly think that it's better than Game of Thrones, The Sopranos, and Breaking Bad! And it's netflix's best tv show!",4.5,Not as good as the 1st it's still very rewatchable though and it's a pretty good continuation and sequel to the 1st! The last 2 episodes were very good though!
